id,sportId,locationId,league-aa,league-de,league-en,league-es,league-fr,league-ja,league-ko,league-pt,league-ru,league-th,league-tr,league-vi,league-zh
6462,23,44,,"Toyota Thailand Open, Mixed Doubles","Toyota Thailand Open, Mixed Doubles","Toyota Thailand Open, Dobles Mixto","Toyota Thailand Open, Mixed Doubles","トヨタ タイ オープン, ミックスダブルス","토요타 태국 오픈, 혼합 복식","Open Toyota da Tailândia, Pares Mistos","Открытый чемпионат Тайланда, Микст пары","โตโยต้า ไทยแลนด์ โอเพน, คู่ผสม","Toyota Thailand Open, Karışık Çiftler","Toyota Thái Lan Mở Rộng, Đôi Nam Nữ","Toyota Thailand Open, Mixed Doubles"
75536,23,44,,,,,,,,,,,,,
31446,23,44,,,,,,,,,,,,,
15547,23,44,"Irish Open, Women, Singles","Irish Open, Women, Singles","Irish Open, Women, Singles","Open Irlanda (IS), Ind. Fem.","Irish Open, Women, Singles","Irish Open, Women, Singles","Irish Open, Women, Singles","Open da Irlanda, SF","Irish Open, Women, Singles","Irish Open, Women, Singles","Irish Open, Women, Singles","Ai-len mở rộng, Đơn Nữ","Irish Open, Women, Singles"
86617,23,44,,,,,,,,,,,,,
19111,23,44,"India Open, Mixed Doubles","India Open, Mixed Doubles","India Open, Mixed Doubles","Open India (WT), Dob Mix","India Open, Mixed Doubles","India Open, Mixed Doubles","India Open, Mixed Doubles","Open India (WT), PM","India Open, Mixed Doubles","India Open, Mixed Doubles","India Open, Mixed Doubles","Ấn Độ mở rộng, Đôi Nam Nữ","India Open, Mixed Doubles"
14423,23,44,"Belgian International, Mixed Doubles","Belgian International, Mixed Doubles","Belgian International, Mixed Doubles","Int. Belga (IC), Dob. Mix","Belgian International, Mixed Doubles",ベルギーインターナショナル (IC)、混合ダブルス,"Belgian International, Mixed Doubles","Int. Bélgica (IC), P. Mis","Belgian International, Mixed Doubles","Belgian International, Mixed Doubles","Belgian International, Mixed Doubles","Giải Quốc Tế Bỉ (IC), Đôi Nam Nữ","Belgian International, Mixed Doubles"
7471,23,44,"Polish International, Doubles","Polish International, Doubles","Polish International, Doubles","Int. Polonia (IS), Dob. Masc.","Polish International, Doubles","Polish International, Doubles","Polish International, Doubles","Int. Polónia (IS), PM","Polish International, Doubles","Polish International, Doubles","Polish International, Doubles","Ba Lan International (IS), Đôi Nam","Polish International, Doubles"
10173,23,44,,"Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd","Denmark Masters, Wd"
5516,23,44,,"SaarLorLux Open, Singles","SaarLorLux Open, Singles","SaarLorLux Open, Singles","SaarLorLux Open, Singles","SaarLorLux Open, Singles","SaarLorLux Open, Singles","SaarLorLux Open, Singles","SaarLorLux Open, Singles","SaarLorLux Open, Singles","SaarLorLux Open, Singles","SaarLorLux mở rộng 2018, Đơn Nam","SaarLorLux Open, Singles"
6859,23,44,,"European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles","European Mixed Team Championships, Women, Doubles"
5059,23,44,"Bulgarian International, Women, Doubles","Bulgarian International, Women, Doubles","Bulgarian International , Women, Doubles","Bulgarian International, Women, Doubles","Bulgarian International, Women, Doubles","Bulgarian International, Women, Doubles","Bulgarian International, Women, Doubles","Bulgarian International, Women, Doubles","Bulgarian International, Women, Doubles","Bulgarian International, Women, Doubles","Bulgarian International, Women, Doubles","Giải Quốc Tế Bulgaria, Đôi Nữ","Bulgarian International, Women, Doubles"
86615,23,44,,,,,,,,,,,,,
27495,23,44,"Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles","Luxembourg Open, Singles"
14147,23,44,"Czech Open, Doubles","Czech Open, Doubles","Czech Open, Doubles","Czech Open, Doubles","Czech Open, Doubles","Czech Open, Doubles","Czech Open, Doubles","Czech Open, Doubles","Czech Open, Doubles","Czech Open, Doubles","Czech Open, Doubles","Séc mở rộng, Đôi","Czech Open, Doubles"
27493,23,44,"Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles","Luxembourg Open, Mixed, Doubles"
61738,23,44,,,,,,,,,,,,,
41866,23,44,,,,,,,,,,,,,
67600,23,44,,,,,,,,,,,,,
122303,23,76,,,,,,,,,,,,,
92563,23,44,,,,,,,,,,,,,
52857,23,44,,,,,,,,,,,,,
8552,23,44,,"Spain Masters, Mixed Doubles","Spain Masters, Mixed Doubles","Spain Masters, Mixed Doubles","Spain Masters, Mixed Doubles","Spain Masters, Mixed Doubles","Spain Masters, Mixed Doubles","Spain Masters, Mixed Doubles","Spain Masters, Mixed Doubles","Spain Masters, Mixed Doubles","Spain Masters, Mixed Doubles","Tây Ban Nha Masters, Đôi Nam Nữ","Spain Masters, Mixed Doubles"
48100,23,44,,,,,,,,,,,,,
19627,23,44,"India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles","India International (ic), Doubles"
74668,23,44,,,,,,,,,,,,,
57271,23,44,,,,,,,,,,,,,
74637,23,44,,,,,,,,,,,,,
120641,23,44,,,,,,,,,,,,,
82508,23,44,,,,,,,,,,,,,
